month_year,nonres_guests
Jan-90,"67,883"
Feb-90,"72,692"
Mar-90,"70,947"
Apr-90,"62,552"
May-90,"57,546"
Jun-90,"48,920"
Jul-90,"57,637"
Aug-90,"52,305"
Sep-90,"47,978"
Oct-90,"52,750"
Nov-90,"75,453"
Dec-90,"72,496"
Jan-91,"56,700"
Feb-91,"59,757"
Mar-91,"68,905"
Apr-91,"61,846"
May-91,"56,071"
Jun-91,"50,667"
Jul-91,"56,195"
Aug-91,"54,785"
Sep-91,"42,123"
Oct-91,"48,190"
Nov-91,"72,331"
Dec-91,"65,757"
Jan-92,"64,253"
Feb-92,"69,179"
Mar-92,"66,612"
Apr-92,"62,789"
May-92,"62,563"
Jun-92,"47,856"
Jul-92,"48,128"
Aug-92,"57,107"
Sep-92,"49,820"
Oct-92,"57,189"
Nov-92,"69,575"
Dec-92,"73,024"
Jan-93,"69,070"
Feb-93,"68,772"
Mar-93,"77,678"
Apr-93,"68,959"
May-93,"61,887"
Jun-93,"58,921"
Jul-93,"55,933"
Aug-93,"61,351"
Sep-93,"51,402"
Oct-93,"51,654"
Nov-93,"66,403"
Dec-93,"70,516"
Jan-94,"73,620"
Feb-94,"78,922"
Mar-94,"81,775"
Apr-94,"72,114"
May-94,"60,669"
Jun-94,"55,049"
Jul-94,"55,238"
Aug-94,"59,232"
Sep-94,"53,431"
Oct-94,"61,316"
Nov-94,"71,017"
Dec-94,"71,184"
Jan-95,"83,042"
Feb-95,"85,605"
Mar-95,"87,668"
Apr-95,"78,200"
May-95,"75,503"
Jun-95,"69,946"
Jul-95,"64,887"
Aug-95,"74,144"
Sep-95,"52,680"
Oct-95,"58,575"
Nov-95,"74,162"
Dec-95,"76,368"
Jan-96,"82,783"
Feb-96,"92,086"
Mar-96,"94,406"
Apr-96,"86,391"
May-96,"71,477"
Jun-96,"65,278"
Jul-96,"65,775"
Aug-96,"71,329"
Sep-96,"44,241"
Oct-96,"67,329"
Nov-96,"81,991"
Dec-96,"79,857"
Jan-97,"96,151"
Feb-97,"96,589"
Mar-97,"101,626"
Apr-97,"92,202"
May-97,"80,110"
Jun-97,"71,995"
Jul-97,"79,856"
Aug-97,"87,930"
Sep-97,"65,329"
Oct-97,"69,980"
Nov-97,"91,416"
Dec-97,"83,560"
Jan-98,"102,655"
Feb-98,"101,371"
Mar-98,"109,042"
Apr-98,"102,460"
May-98,"92,238"
Jun-98,"79,530"
Jul-98,"83,974"
Aug-98,"87,341"
Sep-98,"60,284"
Oct-98,"71,038"
Nov-98,"90,223"
Dec-98,"91,968"
Jan-99,"112,126"
Feb-99,"108,591"
Mar-99,"114,582"
Apr-99,"103,037"
May-99,"88,607"
Jun-99,"83,336"
Jul-99,"91,915"
Aug-99,"85,239"
Sep-99,"60,704"
Oct-99,"72,200"
Nov-99,"86,419"
Dec-99,"83,256"
Jan-00,"98,933"
Feb-00,"112,468"
Mar-00,"117,275"
Apr-00,"112,745"
May-00,"96,233"
Jun-00,"85,525"
Jul-00,"97,074"
Aug-00,"98,338"
Sep-00,"68,817"
Oct-00,"82,343"
Nov-00,"101,515"
Dec-00,"107,601"
1-Jan,"114,236"
1-Feb,"113,658"
1-Mar,"140,800"
1-Apr,"123,173"
1-May,"106,747"
1-Jun,"96,158"
1-Jul,"101,925"
1-Aug,"100,747"
1-Sep,"54,745"
1-Oct,"69,703"
1-Nov,"88,716"
1-Dec,"103,100"
2-Jan,"105,638"
2-Feb,"113,371"
2-Mar,"132,651"
2-Apr,"124,715"
2-May,"106,764"
2-Jun,"101,757"
2-Jul,"109,026"
2-Aug,"108,590"
2-Sep,"73,726"
2-Oct,"87,838"
2-Nov,"105,703"
2-Dec,"110,371"
3-Jan,"122,481"
3-Feb,"124,007"
3-Mar,"136,126"
3-Apr,"120,742"
3-May,"101,745"
3-Jun,"104,255"
3-Jul,"113,994"
3-Aug,"115,075"
3-Sep,"69,882"
3-Oct,"90,699"
3-Nov,"107,069"
3-Dec,"116,166"
4-Jan,"125,354"
4-Feb,"131,859"
4-Mar,"145,920"
4-Apr,"136,118"
4-May,"105,419"
4-Jun,"113,448"
4-Jul,"128,527"
4-Aug,"121,761"
4-Sep,"74,248"
4-Oct,"94,348"
4-Nov,"111,505"
4-Dec,"123,332"
5-Jan,"126,046"
5-Feb,"134,437"
5-Mar,"157,340"
5-Apr,"138,402"
5-May,"112,590"
5-Jun,"117,472"
5-Jul,"133,565"
5-Aug,"125,841"
5-Sep,"81,177"
5-Oct,"91,317"
5-Nov,"117,281"
5-Dec,"129,824"
6-Jan,"140,070"
6-Feb,"143,096"
6-Mar,"159,383"
6-Apr,"143,265"
6-May,"115,643"
6-Jun,"115,816"
6-Jul,"122,661"
6-Aug,"115,401"
6-Sep,"77,684"
6-Oct,"83,178"
6-Nov,"106,101"
6-Dec,"124,154"
7-Jan,"119,525"
7-Feb,"131,713"
7-Mar,"153,939"
7-Apr,"133,673"
7-May,"109,081"
7-Jun,"110,707"
7-Jul,"112,736"
7-Aug,"109,902"
7-Sep,"69,396"
7-Oct,"86,258"
7-Nov,"106,082"
7-Dec,"113,310"
8-Jan,"121,215"
8-Feb,"130,546"
8-Mar,"147,790"
8-Apr,"121,561"
8-May,"107,755"
8-Jun,"108,771"
8-Jul,"113,493"
8-Aug,"114,277"
8-Sep,"63,710"
8-Oct,"84,468"
8-Nov,"97,571"
8-Dec,"110,348"
