month_year,nonres_guests
Jan-90,"67,883"
Feb-90,"72,692"
Mar-90,"70,947"
Apr-90,"62,552"
May-90,"57,546"
Jun-90,"48,920"
Jul-90,"57,637"
Aug-90,"52,305"
Sep-90,"47,978"
Oct-90,"52,750"
Nov-90,"75,453"
Dec-90,"72,496"
Jan-91,"56,700"
Feb-91,"59,757"
Mar-91,"68,905"
Apr-91,"61,846"
May-91,"56,071"
Jun-91,"50,667"
Jul-91,"56,195"
Aug-91,"54,785"
Sep-91,"42,123"
Oct-91,"48,190"
Nov-91,"72,331"
Dec-91,"65,757"
Jan-92,"64,253"
Feb-92,"69,179"
Mar-92,"66,612"
Apr-92,"62,789"
May-92,"62,563"
Jun-92,"47,856"
Jul-92,"48,128"
Aug-92,"57,107"
Sep-92,"49,820"
Oct-92,"57,189"
Nov-92,"69,575"
Dec-92,"73,024"
Jan-93,"69,070"
Feb-93,"68,772"
Mar-93,"77,678"
Apr-93,"68,959"
May-93,"61,887"
Jun-93,"58,921"
Jul-93,"55,933"
Aug-93,"61,351"
Sep-93,"51,402"
Oct-93,"51,654"
Nov-93,"66,403"
Dec-93,"70,516"
Jan-94,"73,620"
Feb-94,"78,922"
Mar-94,"81,775"
Apr-94,"72,114"
May-94,"60,669"
Jun-94,"55,049"
Jul-94,"55,238"
Aug-94,"59,232"
Sep-94,"53,431"
Oct-94,"61,316"
Nov-94,"71,017"
Dec-94,"71,184"
Jan-95,"83,042"
Feb-95,"85,605"
Mar-95,"87,668"
Apr-95,"78,200"
May-95,"75,503"
Jun-95,"69,946"
Jul-95,"64,887"
Aug-95,"74,144"
Sep-95,"52,680"
Oct-95,"58,575"
Nov-95,"74,162"
Dec-95,"76,368"
Jan-96,"82,783"
Feb-96,"92,086"
Mar-96,"94,406"
Apr-96,"86,391"
May-96,"71,477"
Jun-96,"65,278"
Jul-96,"65,775"
Aug-96,"71,329"
Sep-96,"44,241"
Oct-96,"67,329"
Nov-96,"81,991"
Dec-96,"79,857"
Jan-97,"96,151"
Feb-97,"96,589"
Mar-97,"101,626"
Apr-97,"92,202"
May-97,"80,110"
Jun-97,"71,995"
Jul-97,"79,856"
Aug-97,"87,930"
Sep-97,"65,329"
Oct-97,"69,980"
Nov-97,"91,416"
Dec-97,"83,560"
Jan-98,"102,655"
Feb-98,"101,371"
Mar-98,"109,042"
Apr-98,"102,460"
May-98,"92,238"
Jun-98,"79,530"
Jul-98,"83,974"
Aug-98,"87,341"
Sep-98,"60,284"
Oct-98,"71,038"
Nov-98,"90,223"
Dec-98,"91,968"
Jan-99,"112,126"
Feb-99,"108,591"
Mar-99,"114,582"
Apr-99,"103,037"
May-99,"88,607"
Jun-99,"83,336"
Jul-99,"91,915"
Aug-99,"85,239"
Sep-99,"60,704"
Oct-99,"72,200"
Nov-99,"86,419"
Dec-99,"83,256"
Jan-00,"98,933"
Feb-00,"112,468"
Mar-00,"117,275"
Apr-00,"112,745"
May-00,"96,233"
Jun-00,"85,525"
Jul-00,"97,074"
Aug-00,"98,338"
Sep-00,"68,817"
Oct-00,"82,343"
Nov-00,"101,515"
Dec-00,"107,601"
Jan-01,"114,236"
Feb-01,"113,658"
Mar-01,"140,800"
Apr-01,"123,173"
May-01,"106,747"
Jun-01,"96,158"
Jul-01,"101,925"
Aug-01,"100,747"
Sep-01,"54,745"
Oct-01,"69,703"
Nov-01,"88,716"
Dec-01,"103,100"
Jan-02,"105,638"
Feb-02,"113,371"
Mar-02,"132,651"
Apr-02,"124,715"
May-02,"106,764"
Jun-02,"101,757"
Jul-02,"109,026"
Aug-02,"108,590"
Sep-02,"73,726"
Oct-02,"87,838"
Nov-02,"105,703"
Dec-02,"110,371"
Jan-03,"122,481"
Feb-03,"124,007"
Mar-03,"136,126"
Apr-03,"120,742"
May-03,"101,745"
Jun-03,"104,255"
Jul-03,"113,994"
Aug-03,"115,075"
Sep-03,"69,882"
Oct-03,"90,699"
Nov-03,"107,069"
Dec-03,"116,166"
Jan-04,"125,354"
Feb-04,"131,859"
Mar-04,"145,920"
Apr-04,"136,118"
May-04,"105,419"
Jun-04,"113,448"
Jul-04,"128,527"
Aug-04,"121,761"
Sep-04,"74,248"
Oct-04,"94,348"
Nov-04,"111,505"
Dec-04,"123,332"
Jan-05,"126,046"
Feb-05,"134,437"
Mar-05,"157,340"
Apr-05,"138,402"
May-05,"112,590"
Jun-05,"117,472"
Jul-05,"133,565"
Aug-05,"125,841"
Sep-05,"81,177"
Oct-05,"91,317"
Nov-05,"117,281"
Dec-05,"129,824"
Jan-06,"140,070"
Feb-06,"143,096"
Mar-06,"159,383"
Apr-06,"143,265"
May-06,"115,643"
Jun-06,"115,816"
Jul-06,"122,661"
Aug-06,"115,401"
Sep-06,"77,684"
Oct-06,"83,178"
Nov-06,"106,101"
Dec-06,"124,154"
Jan-07,"119,525"
Feb-07,"131,713"
Mar-07,"153,939"
Apr-07,"133,673"
May-07,"109,081"
Jun-07,"110,707"
Jul-07,"112,736"
Aug-07,"109,902"
Sep-07,"69,396"
Oct-07,"86,258"
Nov-07,"106,082"
Dec-07,"113,310"
Jan-08,"121,215"
Feb-08,"130,546"
Mar-08,"147,790"
Apr-08,"121,561"
May-08,"107,755"
Jun-08,"108,771"
Jul-08,"113,493"
Aug-08,"114,277"
Sep-08,"63,710"
Oct-08,"84,468"
Nov-08,"97,571"
Dec-08,"110,348"
